Key,RU,DE
ЧТО ТАКОЕ BLOCKCHAIN,Что такое Blockchain и метавселенная и какие возможности они открывают для бизнеса и инвестиций,Was ist Blockchain und Metaversen und welche Möglichkeiten bieten sie uns im Business und in der Investition.
КУПИТЬ NFT-БИЛЕТ,КУПИТЬ NFT-БИЛЕТ,Ein NFT-Ticket kaufen
Загрузка,Загрузка,Loading
"Нажимая на кнопку","Нажимая на кнопку, вы даете согласие на обработку персональных данных и соглашаетесь c","Durch das anklicken der Schaltfläche stimmen Sie der Verarbeitung personenbezogener Daten und"
политикой конфиденциальности,политикой конфиденциальности,der Datenschutzerklärung zu

"Для получения NFT", Для получения NFT вам необходимо иметь кошелёк  MetaMask с привязкой для смартфона в приложении. Приложение MetaMask можно найти и установить для iOS и Android., Um die NFT zu erhalten benötigen Sie ein MetaMask-Wallet mit der Smartphone-Anbindung als App. Die MetaMask-App kann sowohl für iOS als auch für Android gefunden und installiert werden.

Регистрация нового кошелька, Регистрация нового кошелька доступна на <a href='https://metamask.io/download/' target='_blank' rel='noopener noreferrer'>https://metamask.io/download/</a>,Eine neue Wallet-Registrierung ist unter <a href='https://metamask.io/download/' target='_blank' rel='noopener noreferrer'>https://metamask.io/download/</a> verfügbar.
Инструкция подключения сети,Инструкция подключения сети Binance Smart Chain MetaMask в телефоне,Binance Smart Chain auf MetaMask einrichten von Smartpohone aus.
Анатолий Илле,Анатолий Илле,Anatoli Ille
Антон Эльстон,Антон Эльстон,Anton Elston
Организатор,Организатор,Organisator
Юрий Гришин,Юрий Гришин,Jürgen Grischin
